Name,Score
hiva_agnostic,0.9644999999999999
BurkittLymphoma,0.7454545454545455
leukemia,0.7076190476190476
tumors_C,0.6499999999999999
AP_Breast_Prostate,0.9903614457831325
AP_Endometrium_Breast,0.9728395061728394
AP_Omentum_Uterus,0.8308536585365853
AP_Omentum_Prostate,0.9657471264367816
AP_Colon_Lung,0.9223920070526006
AP_Breast_Omentum,0.9430532212885154
OVA_Breast,0.9197411003236245
AP_Uterus_Kidney,0.934894053315106
OVA_Lung,0.9385113268608414
AP_Prostate_Uterus,0.9792172739541162
AP_Omentum_Lung,0.8469512195121951
AP_Endometrium_Colon,0.9479917184265011
OVA_Kidney,0.9766990291262136
AP_Colon_Prostate,0.9830985915492958
AP_Lung_Uterus,0.86
AP_Colon_Kidney,0.9688573811509592
OVA_Uterus,0.9294498381877023
OVA_Omentum,0.9488673139158574
AP_Ovary_Lung,0.8364903846153847
AP_Endometrium_Prostate,0.9384615384615385
OVA_Endometrium,0.9598705501618123
AP_Colon_Omentum,0.9175418569254186
AP_Prostate_Kidney,0.9848484848484848
AP_Breast_Colon,0.9412698412698413
OVA_Prostate,0.9954692556634305
AP_Omentum_Kidney,0.9523266022827042
AP_Breast_Uterus,0.9422786547700757
AP_Ovary_Kidney,0.9606545628284758
AP_Breast_Lung,0.9340425531914894
AP_Endometrium_Omentum,0.8328042328042328
AP_Prostate_Ovary,0.9888190076869321
AP_Colon_Ovary,0.9049398625429553
AP_Endometrium_Lung,0.9251778093883358
AP_Prostate_Lung,0.9846153846153847
AP_Omentum_Ovary,0.7418181818181819
AP_Endometrium_Kidney,0.9656730769230769
AP_Breast_Kidney,0.9602892561983472
AP_Endometrium_Ovary,0.8340874811463046
AP_Colon_Uterus,0.9365853658536585
OVA_Colon,0.9585760517799352
AP_Ovary_Uterus,0.7731730769230769
AP_Lung_Kidney,0.9482850482850482
AP_Endometrium_Uterus,0.681081081081081
AP_Breast_Ovary,0.9483520217465171
OVA_Ovary,0.8880258899676375
eating,0.2444444444444444
amazon-commerce-reviews,0.25000000000000006
arcene,0.725
micro-mass,0.6777777777777778
micro-mass,0.5605034324942791
Bioresponse,0.643
CIFAR_10_small,0.25199999999999995
UMIST_Faces_Cropped,0.7443478260869565
STL-10,0.24850000000000003
arcene,0.56
guillermo,0.5665
riccardo,1.0
dilbert,0.6635000000000001
robert,0.2285
SVHN_small,0.9479999999999998
kits-subset,0.64
kits,0.6719999999999999
toxicity,0.6611764705882353
Bioresponse,0.6495
