Name,Score
hiva_agnostic,0.9644999999999999
BurkittLymphoma,0.7363636363636363
leukemia,0.679047619047619
tumors_C,0.6499999999999999
AP_Breast_Prostate,0.980664119894211
AP_Endometrium_Breast,0.930864197530864
AP_Omentum_Uterus,0.8260975609756098
AP_Omentum_Prostate,0.9245977011494253
AP_Colon_Lung,0.8156038789303555
AP_Breast_Omentum,0.8337254901960784
OVA_Breast,0.9132686084142396
AP_Uterus_Kidney,0.934894053315106
OVA_Lung,0.9184466019417477
AP_Prostate_Uterus,0.9635627530364375
AP_Omentum_Lung,0.7929268292682927
AP_Endometrium_Colon,0.9481159420289854
OVA_Kidney,0.968284789644013
AP_Colon_Prostate,0.9859154929577464
AP_Lung_Uterus,0.8719999999999999
AP_Colon_Kidney,0.9670391993327773
OVA_Uterus,0.9236245954692557
OVA_Omentum,0.9501618122977347
AP_Ovary_Lung,0.8735576923076923
AP_Endometrium_Prostate,0.9692307692307693
OVA_Endometrium,0.9605177993527508
AP_Colon_Omentum,0.8705098934550989
AP_Prostate_Kidney,0.9818181818181818
AP_Breast_Colon,0.9238095238095239
OVA_Prostate,0.9941747572815534
AP_Omentum_Kidney,0.9256804214223002
AP_Breast_Uterus,0.9102264927934112
AP_Ovary_Kidney,0.9366459627329192
AP_Breast_Lung,0.8170212765957446
AP_Endometrium_Omentum,0.8838624338624339
AP_Prostate_Ovary,0.9888190076869321
AP_Colon_Ovary,0.8450601374570447
AP_Endometrium_Lung,0.9196301564722618
AP_Prostate_Lung,0.9435897435897436
AP_Omentum_Ovary,0.7563636363636363
AP_Endometrium_Kidney,0.9594711538461539
AP_Breast_Kidney,0.9520110192837465
AP_Endometrium_Ovary,0.8260180995475114
AP_Colon_Uterus,0.9390243902439025
OVA_Colon,0.946925566343042
AP_Ovary_Uterus,0.791923076923077
AP_Lung_Kidney,0.9093906093906095
AP_Endometrium_Uterus,0.654054054054054
AP_Breast_Ovary,0.8487937478763167
OVA_Ovary,0.8724919093851131
eating,0.35449735449735453
amazon-commerce-reviews,0.06666666666666667
arcene,0.6599999999999999
micro-mass,0.7194444444444446
micro-mass,0.262745995423341
Bioresponse,0.7
CIFAR_10_small,0.2815
UMIST_Faces_Cropped,0.768695652173913
STL-10,0.28850000000000003
arcene,0.6
guillermo,0.5715
riccardo,1.0
dilbert,0.622
robert,0.2705
SVHN_small,0.9479999999999998
kits-subset,0.65
kits,0.62
toxicity,0.6490756302521008
armstrong-2002-v1,0.8047619047619048
bittner-2000,0.4714285714285714
khan-2001,0.48382352941176465
toxicity,0.6490756302521008
Bioresponse,0.6945
