Name,Score
hiva_agnostic,0.95
BurkittLymphoma,0.42272727272727273
leukemia,0.6009523809523809
tumors_C,0.5166666666666667
AP_Breast_Prostate,0.9250661181310609
AP_Endometrium_Breast,0.9185185185185185
AP_Omentum_Uterus,0.5879268292682926
AP_Omentum_Prostate,0.5535632183908046
AP_Colon_Lung,0.6575668527769615
AP_Breast_Omentum,0.6912324929971989
OVA_Breast,0.7171521035598706
AP_Uterus_Kidney,0.8230348598769652
OVA_Lung,0.8699029126213592
AP_Prostate_Uterus,0.7824561403508772
AP_Omentum_Lung,0.3884146341463415
AP_Endometrium_Colon,0.8703933747412009
OVA_Kidney,0.9242718446601941
AP_Colon_Prostate,0.8985915492957746
AP_Lung_Uterus,0.492
AP_Colon_Kidney,0.6134945788156798
OVA_Uterus,0.9042071197411004
OVA_Omentum,0.920388349514563
AP_Ovary_Lung,0.3362980769230769
AP_Endometrium_Prostate,0.5615384615384615
OVA_Endometrium,0.9482200647249192
AP_Colon_Omentum,0.8048325722983257
AP_Prostate_Kidney,0.8387412587412587
AP_Breast_Colon,0.6746031746031746
OVA_Prostate,0.9346278317152104
AP_Omentum_Kidney,0.8574187884108866
AP_Breast_Uterus,0.7798444291924046
AP_Ovary_Kidney,0.6551122790253224
AP_Breast_Lung,0.6978723404255319
AP_Endometrium_Omentum,0.32857142857142857
AP_Prostate_Ovary,0.8356394129979036
AP_Colon_Ovary,0.636340206185567
AP_Endometrium_Lung,0.5386913229018492
AP_Prostate_Lung,0.5897435897435898
AP_Omentum_Ovary,0.6654545454545454
AP_Endometrium_Kidney,0.9532211538461539
AP_Breast_Kidney,0.7202617079889807
AP_Endometrium_Ovary,0.7259426847662143
AP_Colon_Uterus,0.8414634146341463
OVA_Colon,0.8925566343042071
AP_Ovary_Uterus,0.4967307692307692
AP_Lung_Kidney,0.6996336996336997
AP_Endometrium_Uterus,0.6
AP_Breast_Ovary,0.69570166496772
OVA_Ovary,0.8343042071197411
eating,0.18835978835978834
amazon-commerce-reviews,0.026666666666666665
arcene,0.5549999999999999
micro-mass,0.18611111111111112
micro-mass,0.049107551487414185
Bioresponse,0.5665
CIFAR_10_small,0.1145
UMIST_Faces_Cropped,0.09217391304347826
STL-10,0.1565
arcene,0.5
guillermo,0.5355
riccardo,1.0
dilbert,0.23600000000000004
robert,0.125
SVHN_small,0.9475
kits-subset,0.52
kits,0.51
toxicity,0.5904201680672269
Bioresponse,0.5385
